what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.gmf.runtime.common.ui.services.action,1.2.1.v20090825-1800,"org.eclipse.gmf.runtime.common.ui.services.action",1261144672157
started,bundle,org.eclipse.gmf.runtime.common.ui.services,1.2.0.v20090403-1720,"org.eclipse.gmf.runtime.common.ui.services",1261144672189
started,bundle,org.eclipse.gmf.runtime.diagram.ui.providers,1.2.1.v20090729-2029,"org.eclipse.gmf.runtime.diagram.ui.providers",1261144672236
started,bundle,org.eclipse.gmf.runtime.diagram.ui.actions,1.2.0.v20090403-1720,"org.eclipse.gmf.runtime.diagram.ui.actions",1261144672251
started,bundle,org.eclipse.emf.ecoretools.filters,0.8.0.v200906221231,"org.eclipse.emf.ecoretools.filters",1261144672486
started,bundle,org.eclipse.gmf.runtime.diagram.ui.providers.ide,1.2.0.v20090403-1720,"org.eclipse.gmf.runtime.diagram.ui.providers.ide",1261144672517
started,bundle,org.eclipse.gmf.runtime.common.ui.action.ide,1.2.0.v20090403-1720,"org.eclipse.gmf.runtime.common.ui.action.ide",1261144672532
started,bundle,org.eclipse.gmf.runtime.diagram.ui.printing,1.2.1.v20090729-2029,"org.eclipse.gmf.runtime.diagram.ui.printing",1261144672564
started,bundle,org.eclipse.gmf.runtime.diagram.ui.printing.render,1.2.1.v20090729-2029,"org.eclipse.gmf.runtime.diagram.ui.printing.render",1261144672564
started,bundle,org.eclipse.gmf.runtime.draw2d.ui,1.2.1.v20090825-1800,"org.eclipse.gmf.runtime.draw2d.ui",1261144672595
started,bundle,org.eclipse.gmf.runtime.draw2d.ui.render,1.2.1.v20090729-2029,"org.eclipse.gmf.runtime.draw2d.ui.render",1261144672611
started,bundle,org.eclipse.emf.mapping.ecore2xml,2.5.0.v200906151043,"org.eclipse.emf.mapping.ecore2xml",1261144672720
started,bundle,org.eclipse.gmf.runtime.emf.type.core,1.2.0.v20090403-1720,"org.eclipse.gmf.runtime.emf.type.core",1261144676938
started,bundle,org.eclipse.gmf.runtime.diagram.ui.render,1.2.1.v20090729-2029,"org.eclipse.gmf.runtime.diagram.ui.render",1261144677970
started,bundle,org.eclipse.emf.ecoretools.diagram,0.9.0.v200906221231,"org.eclipse.emf.ecoretools.diagram",1261144678220
started,bundle,org.eclipse.gmf.ecore.editor,2.1.0.v20090529-1925,"org.eclipse.gmf.ecore.editor",1261144678251
started,bundle,org.eclipse.uml2.diagram.clazz,0.9.0.v200906190654,"org.eclipse.uml2.diagram.clazz",1261144678282
started,bundle,org.eclipse.uml2.diagram.component,0.9.0.v200906190654,"org.eclipse.uml2.diagram.component",1261144678313
started,bundle,org.eclipse.uml2.diagram.profile,0.9.0.v200906190654,"org.eclipse.uml2.diagram.profile",1261144678454
started,bundle,org.eclipse.uml2.diagram.usecase,0.9.0.v200906190654,"org.eclipse.uml2.diagram.usecase",1261144678470
started,bundle,org.eclipse.uml2.diagram.parser,0.9.0.v200906190654,"org.eclipse.uml2.diagram.parser",1261144678532
started,bundle,org.eclipse.ocl,1.3.0.v200905271400,"org.eclipse.ocl",1261144678563
started,bundle,org.eclipse.ocl.ecore,1.3.0.v200905271400,"org.eclipse.ocl.ecore",1261144678579
started,bundle,org.eclipse.gmf.runtime.emf.ui,1.2.0.v20090403-1720,"org.eclipse.gmf.runtime.emf.ui",1261144678751
started,bundle,org.eclipse.uml2.diagram.activity,0.9.0.v200906190654,"org.eclipse.uml2.diagram.activity",1261144678813
