what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.uml2.diagram.common,0.9.0.v200906190654,"org.eclipse.uml2.diagram.common",1261144142991
os,sysinfo,,,"win32",1261144142991
arch,sysinfo,,,"x86",1261144142991
ws,sysinfo,,,"win32",1261144142991
locale,sysinfo,,,"en_US",1261144142991
processors,sysinfo,,,"2",1261144142991
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1261144142991
java.runtime.version,sysinfo,,,"1.7.0-ea-b50",1261144142991
java.specification.name,sysinfo,,,"Java Platform API Specification",1261144142991
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1261144142991
java.specification.version,sysinfo,,,"1.7",1261144142991
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1261144142991
java.version,sysinfo,,,"1.7.0-ea",1261144142991
java.vm.info,sysinfo,,,"mixed mode",1261144142991
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1261144142991
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1261144142991
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1261144142991
java.vm.specification.version,sysinfo,,,"1.0",1261144142991
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1261144142991
java.vm.version,sysinfo,,,"15.0-b02",1261144142991
started,bundle,org.eclipse.emf.common,2.5.0.v200906151043,"org.eclipse.emf.common",1261144143038
started,bundle,org.eclipse.core.filesystem,1.2.0.v20090507,"org.eclipse.core.filesystem",1261144143225
started,bundle,org.eclipse.emf.ecore,2.5.0.v200906151043,"org.eclipse.emf.ecore",1261144143272
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1261144143350
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1261144143663
