what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.emf.edit,2.5.0.v200906151043,"org.eclipse.emf.edit",1261144618284
started,bundle,org.eclipse.emf.ecore.edit,2.5.0.v200906151043,"org.eclipse.emf.ecore.edit",1261144618284
started,bundle,org.eclipse.uml2.uml.edit,3.0.0.v200905041045,"org.eclipse.uml2.uml.edit",1261144618300
started,bundle,org.eclipse.uml2.common.edit,1.5.0.v200905041045,"org.eclipse.uml2.common.edit",1261144618331
started,bundle,org.eclipse.uml2.diagram.deploy,0.9.0.v200906190654,"org.eclipse.uml2.diagram.deploy",1261144618909
started,bundle,org.eclipse.gmf.runtime.notation,1.2.0.v20090521-1925,"org.eclipse.gmf.runtime.notation",1261144619003
started,bundle,org.eclipse.emf.transaction,1.3.0.v200902010221,"org.eclipse.emf.transaction",1261144670267
started,bundle,org.eclipse.emf.workspace,1.3.0.v200902100422,"org.eclipse.emf.workspace",1261144670267
started,bundle,org.eclipse.gmf.runtime.emf.core,1.2.0.v20090422-1925,"org.eclipse.gmf.runtime.emf.core",1261144670282
started,bundle,org.eclipse.emf.ecore.change,2.5.0.v200906151043,"org.eclipse.emf.ecore.change",1261144670329
started,bundle,org.eclipse.gmf.runtime.common.core,1.2.0.v20090403-1720,"org.eclipse.gmf.runtime.common.core",1261144670423
started,bundle,org.eclipse.gmf.runtime.emf.commands.core,1.2.0.v20090403-1720,"org.eclipse.gmf.runtime.emf.commands.core",1261144670423
started,bundle,org.eclipse.uml2.common,1.5.0.v200905041045,"org.eclipse.uml2.common",1261144670501
started,bundle,org.eclipse.uml2.diagram.common.notation,0.9.0.v200906190654,"org.eclipse.uml2.diagram.common.notation",1261144671220
started,bundle,org.eclipse.emf.validation.ui,1.3.0.v200901271722,"org.eclipse.emf.validation.ui",1261144671439
started,bundle,org.eclipse.gef,3.5.0.v20090528-1511,"org.eclipse.gef",1261144671876
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.0.I20090429-1800,"org.eclipse.ui.views.properties.tabbed",1261144671876
started,bundle,org.eclipse.gmf.runtime.diagram.ui,1.2.1.v20090825-1647,"org.eclipse.gmf.runtime.diagram.ui",1261144671907
started,bundle,org.eclipse.gmf.runtime.diagram.ui.resources.editor,1.2.0.v20090526-1925,"org.eclipse.gmf.runtime.diagram.ui.resources.editor",1261144671907
started,bundle,org.eclipse.gmf.runtime.common.ui,1.2.1.v20090729-2029,"org.eclipse.gmf.runtime.common.ui",1261144671954
started,bundle,org.eclipse.gmf.runtime.gef.ui,1.2.0.v20090520-1343,"org.eclipse.gmf.runtime.gef.ui",1261144671986
started,bundle,org.eclipse.emf.common.ui,2.5.0.v200906151043,"org.eclipse.emf.common.ui",1261144672017
started,bundle,org.eclipse.emf.edit.ui,2.5.0.v200906151043,"org.eclipse.emf.edit.ui",1261144672017
started,bundle,org.eclipse.draw2d,3.5.1.v20090813-1341,"org.eclipse.draw2d",1261144672095
started,bundle,org.eclipse.gmf.runtime.common.ui.action,1.2.0.v20090403-1720,"org.eclipse.gmf.runtime.common.ui.action",1261144672157
